unique_id,dataset_index,task_number,eraser_size,remaining_mask,points,user_id,actual_MNIST_label,submitted_MNIST_label,task_duration
46,71,8,80,8,6,16,7,0,5186
47,53,1,5,94,82,31,4,4,33862
48,59,3,16,67,59,11,1,1,21665
49,59,3,16,66,58,15,1,4,22385
50,73,10,200,0,-2,12,6,6,5654
51,76,9,100,56,56,16,2,2,3634
52,74,6,40,77,75,18,3,3,6828
53,69,1,5,97,91,34,0,6,16215
54,23,1,5,83,47,20,1,1,92376
55,82,10,200,0,-2,16,2,2,5734
56,43,2,10,77,55,22,9,9,57759
57,45,1,5,88,68,27,9,8,50679
58,74,2,10,87,81,26,3,3,15765
59,60,6,40,10,-4,5,4,0,37458
60,54,1,5,90,72,32,9,4,48337
61,83,7,50,56,50,18,6,6,16061
62,84,2,10,79,73,34,7,7,15064
63,80,4,20,81,75,15,9,0,19020
64,78,4,20,50,40,11,1,1,25993
65,89,3,16,81,77,26,4,4,11655
66,93,8,80,60,58,18,6,6,7254
67,1,1,5,66,-2,4,0,4,171558
68,85,2,10,78,70,20,8,8,22137
69,98,4,20,85,83,26,3,3,6497
70,94,3,16,84,80,34,8,8,12769
71,97,5,25,72,70,11,8,8,8361
72,99,9,100,50,48,18,1,1,6038
73,40,1,5,88,54,25,1,1,86600
74,76,2,10,77,63,17,2,2,38612
75,46,1,5,74,44,28,8,0,77016
76,80,1,5,93,81,36,9,0,33722
77,85,3,16,55,45,22,8,8,28846
78,91,2,10,78,70,32,7,7,22785
79,102,5,25,79,77,26,1,1,5830
80,104,10,200,25,25,18,1,1,4441
81,94,5,25,61,55,15,8,0,19715
82,71,1,5,100,80,35,7,5,50235
83,78,2,10,72,54,31,1,1,49375
84,112,6,40,76,76,26,1,1,4621
85,85,1,5,88,76,37,8,8,31614
86,88,2,10,70,56,27,0,0,37095
87,118,7,50,59,59,26,0,0,4140
88,90,7,50,81,67,5,6,6,39318
89,104,4,20,80,74,34,1,1,16754
90,108,3,16,82,78,17,0,0,13863
91,102,3,16,79,71,20,1,1,20033
92,112,3,16,79,75,32,1,1,12651
93,110,2,10,81,77,28,9,9,14268
94,52,1,5,85,49,30,7,4,92770
95,92,1,5,88,74,38,4,4,38256
96,124,8,80,60,60,26,1,1,4030
97,118,3,16,77,73,31,0,0,13438
98,131,9,100,69,69,26,4,4,3092
99,104,6,40,0,-10,11,1,0,28187
100,125,5,25,93,91,34,8,6,9264
101,110,4,20,68,60,22,9,9,23577
102,114,6,40,0,-8,15,0,0,22617
103,124,8,80,76,72,5,1,1,12839
104,136,10,200,0,0,26,3,3,4650
105,122,3,16,75,69,27,2,2,18551
106,130,2,10,87,83,38,3,3,11002
107,109,2,10,75,63,36,2,2,30374
108,130,3,16,74,70,28,3,3,10389
109,129,4,20,64,60,32,6,6,14811
110,137,7,50,53,51,11,8,8,8845
111,140,7,50,63,61,15,7,2,7745
112,135,4,20,80,76,31,3,3,14963
113,127,4,20,62,54,20,4,4,22662
114,147,8,80,56,54,11,6,6,5092
115,138,6,40,80,76,34,5,5,14624
116,120,1,5,87,77,43,2,2,28180
117,144,5,25,74,72,32,8,8,8202
118,140,9,100,44,38,5,7,7,15462
119,148,8,80,48,46,15,7,7,8208
120,138,5,25,36,28,22,5,5,21075
121,144,4,20,63,59,28,8,8,11715
122,126,4,20,63,51,17,6,4,30859
123,117,1,5,91,75,42,2,2,41235
124,152,9,100,38,34,11,1,4,10502
125,153,7,50,78,76,34,9,9,9443
126,154,6,40,61,59,32,9,9,9598
127,158,9,100,44,42,15,7,0,5236
128,151,5,25,72,66,20,6,1,14844
129,142,3,16,52,44,38,4,4,24076
130,165,10,200,0,0,11,6,6,4606
131,166,8,80,80,78,34,4,4,5973
132,142,4,20,52,42,27,4,4,27459
133,144,3,16,49,39,36,8,0,26008
134,168,10,200,0,0,15,7,7,4030
135,154,2,10,79,73,43,9,6,15467
136,120,2,10,56,36,37,2,2,50471
137,161,5,25,55,51,28,2,2,9714
138,167,7,50,64,62,32,9,9,7134
139,158,6,40,31,27,22,7,7,14513
140,161,5,25,72,68,17,2,2,12832
141,101,2,10,44,16,4,7,7,71798
142,149,1,5,90,80,46,3,3,25168
143,69,1,5,82,36,33,0,0,118284
144,107,2,10,68,42,25,3,3,69779
145,171,9,100,63,61,34,2,2,6430
146,170,4,20,76,72,38,9,9,10230
147,164,2,10,84,78,42,4,4,16698
148,148,5,25,68,56,31,7,3,31769
149,172,5,25,75,71,27,9,5,11132
150,176,8,80,84,82,32,9,9,9217
151,173,4,20,66,62,36,5,5,10490
152,176,6,40,40,38,28,9,1,8172
153,173,3,16,70,66,43,5,5,11331
154,183,10,200,0,-2,34,9,9,5926
155,157,10,200,0,-12,5,3,3,31520
156,177,7,50,66,62,22,1,0,11640
157,169,6,40,58,50,20,0,0,21219
158,177,6,40,70,66,17,1,1,11186
159,130,2,10,66,42,30,3,4,61105
160,183,5,25,55,51,38,9,7,11654
161,185,3,16,73,69,42,7,7,14427
162,176,3,16,66,60,37,9,1,19593
163,189,9,100,75,71,32,2,2,10924
164,192,7,50,39,37,28,0,0,7124
165,115,1,5,82,50,41,4,4,81103
166,155,1,5,91,75,47,6,6,43391
167,192,4,20,56,54,43,0,0,9701
168,189,6,40,57,53,27,2,2,13177
169,198,6,40,47,45,38,3,3,6184
170,195,7,50,63,59,20,9,9,13246
171,194,8,80,28,22,22,4,4,17097
172,200,8,80,12,10,28,1,1,6414
173,196,7,50,59,55,17,7,7,14444
174,181,3,16,43,33,4,3,3,28540
175,200,10,200,0,-2,32,1,1,7092
176,203,5,25,55,53,43,3,3,6494
177,204,7,50,50,48,38,6,6,5705
178,208,9,100,0,-2,22,1,1,5773
179,199,4,20,73,67,42,2,2,15117
180,212,8,80,72,72,38,7,1,3325
181,208,8,80,40,38,20,1,1,9037
182,210,8,80,76,74,17,0,0,4821
183,212,6,40,44,42,43,7,1,5147
184,210,9,100,44,42,28,0,0,5490
185,188,6,40,70,56,31,8,8,36771
186,218,9,100,56,56,38,6,6,4171
187,217,10,200,0,-2,22,4,4,6814
188,203,7,50,8,0,27,3,0,20031
189,183,3,16,37,21,25,9,0,42743
190,181,2,10,53,35,46,3,5,46288
191,217,5,25,80,78,42,4,6,8192
192,210,1,5,95,91,52,0,1,13108
193,210,4,20,49,43,4,0,0,15660
194,225,10,200,0,0,38,8,8,4276
195,199,4,20,48,38,37,2,0,26687
196,221,9,100,50,48,17,6,8,5727
197,220,9,100,44,42,20,2,2,9124
198,221,7,50,0,-4,43,6,0,9637
199,221,10,200,0,-2,28,6,4,7649
200,203,2,10,71,61,47,3,6,28289
201,227,8,80,36,34,27,9,9,9370
202,197,3,16,55,39,30,8,8,39905
203,232,10,200,0,-2,20,0,0,5838
204,235,8,80,16,16,43,3,3,4030
205,233,10,200,0,0,17,2,3,3951
206,159,1,5,82,56,49,2,2,69461
207,222,7,50,56,50,31,4,4,18147
208,228,3,16,65,61,46,3,3,14841
209,239,9,100,6,6,43,5,5,3923
210,237,9,100,25,23,27,4,4,6637
211,231,5,25,45,39,4,1,1,16230
212,242,10,200,0,0,43,3,3,3140
213,232,5,25,75,69,37,0,0,19212
214,229,2,10,71,63,52,0,0,21372
215,244,10,200,0,-2,27,5,5,5338
216,242,4,20,60,56,46,3,3,10848
217,228,4,20,69,59,25,3,3,28092
218,95,1,5,81,17,39,0,4,163966
219,246,6,40,25,21,4,0,0,14138
220,183,2,10,52,20,33,9,0,80667
221,244,1,5,96,90,55,5,5,16444
222,203,2,10,72,48,41,3,6,59997
223,247,3,16,72,68,52,9,9,10802
224,249,5,25,60,58,46,0,0,9120
225,237,4,20,41,29,30,4,4,33520
226,225,1,5,91,73,54,8,8,48439
227,253,7,50,19,15,4,2,2,9836
228,256,6,40,69,67,46,6,6,9231
229,256,4,20,72,70,52,6,6,8453
230,251,5,25,75,67,25,1,1,21145
231,254,3,16,71,65,33,3,3,15930
232,216,1,5,87,63,53,0,0,62107
233,254,2,10,80,74,55,3,3,17098
234,265,5,25,69,67,52,8,8,7552
235,236,3,16,76,56,47,5,5,54959
236,247,6,40,51,37,37,9,0,36955
237,261,5,25,53,47,30,6,6,16204
238,190,1,5,71,31,51,2,2,100512
239,264,7,50,70,64,46,9,9,16085
240,256,3,16,62,52,41,6,6,29084
241,271,6,40,55,53,52,4,4,7422
242,262,8,80,0,-8,4,2,2,21160
243,266,6,40,63,57,25,5,2,15839
244,267,4,20,62,58,33,9,1,14684
245,252,2,10,72,58,39,2,2,37668
246,273,7,50,75,73,37,5,5,8518
247,269,2,10,87,81,53,1,1,16961
248,275,8,80,60,58,46,4,4,9574
249,278,9,100,25,23,4,5,3,5616
250,278,7,50,45,43,52,5,5,6887
251,273,6,40,30,26,30,5,5,12474
252,282,5,25,70,68,33,9,9,9734
253,286,10,200,0,0,4,6,6,4639
254,279,7,50,67,63,25,3,3,10982
255,256,1,5,100,86,57,6,0,35532
256,262,2,10,74,62,54,2,2,34357
257,288,8,80,36,34,52,7,7,6569
258,269,3,16,55,45,55,1,0,29158
259,240,8,80,56,26,31,8,8,75602
260,291,6,40,73,71,33,3,3,6045
261,284,8,80,52,48,37,5,5,14146
262,286,9,100,56,52,46,6,6,14337
263,289,7,50,44,40,30,4,4,10596
264,291,8,80,64,62,25,3,3,6955
265,285,3,16,75,71,53,9,6,13904
266,279,1,5,99,93,60,3,7,16423
267,283,3,16,58,50,39,0,0,20853
268,295,9,100,38,36,52,8,8,7230
269,298,7,50,64,62,33,3,3,5025
270,272,4,20,75,61,47,4,4,35011
271,295,4,20,68,64,55,8,8,10134
272,293,2,10,95,91,57,0,0,12372
273,299,8,80,40,38,30,6,6,7854
274,297,9,100,38,34,31,4,4,13620
275,290,1,5,100,94,61,1,0,19938
276,299,9,100,69,67,37,6,7,8440
277,299,9,100,63,61,25,6,7,8364
278,304,10,200,25,23,52,9,9,6001
279,307,8,80,40,38,33,7,7,6238
280,304,2,10,96,94,60,9,6,9187
281,293,3,16,69,61,54,0,0,20434
282,240,2,10,58,22,49,8,8,93169
283,301,4,20,73,69,53,7,7,12483
284,299,10,200,25,19,46,6,6,15916
285,277,4,20,59,43,41,2,7,40862
286,308,5,25,63,61,55,2,2,9589
287,275,2,10,68,52,51,4,4,42873
288,304,4,20,63,57,39,9,1,16390
289,310,9,100,38,34,30,1,1,10125
290,267,1,5,96,72,59,9,9,62625
291,310,3,16,98,94,57,1,7,10977
292,313,10,200,0,-2,30,9,9,8247
293,308,5,25,72,60,47,2,2,33279
294,319,1,5,99,97,63,9,7,6189
295,321,6,40,67,65,55,3,3,5823
296,324,2,10,96,94,63,7,6,6435
297,250,1,5,100,54,56,3,2,119526
298,324,1,5,100,98,66,7,7,8413
299,260,1,5,83,41,58,0,0,108507
300,326,7,50,38,36,55,0,0,8995
301,320,6,40,63,55,47,0,0,20109
302,328,3,16,94,92,63,5,3,7411
303,310,10,200,0,-18,31,1,1,48415
304,331,8,80,52,50,55,6,4,6390
305,333,10,200,0,-2,37,8,8,5677
306,335,4,20,89,87,63,5,5,9121
307,315,2,10,89,75,59,1,5,39981
308,336,9,100,56,54,55,4,4,4971
309,333,7,50,66,62,47,8,8,13186
310,329,2,10,83,77,56,4,4,19390
311,338,10,200,0,0,55,4,4,4584
312,337,5,25,82,80,63,7,8,7056
313,315,5,25,42,22,41,1,1,50076
314,330,2,10,69,57,66,3,3,30039
315,343,6,40,94,94,63,8,1,4165
316,322,1,5,90,74,64,9,9,44563
317,323,1,5,88,72,65,6,6,44288
318,347,7,50,73,71,63,2,2,5935
319,314,1,5,84,58,62,4,4,66017
320,340,8,80,0,-8,47,7,1,22840
321,345,6,40,38,32,41,1,1,16800
322,355,8,80,48,46,63,1,3,5453
323,340,3,16,44,34,56,7,4,25465
324,338,3,16,75,65,59,4,4,27034
325,343,1,5,91,81,68,8,8,26034
326,356,9,100,50,48,47,3,3,8075
327,349,2,10,87,81,64,7,7,19049
328,346,1,5,92,84,69,9,9,24281
329,356,1,5,96,92,74,3,0,11542
330,360,9,100,44,40,63,2,2,10523
331,357,7,50,58,54,41,1,1,12752
332,353,2,10,85,77,65,7,7,22024
333,362,4,20,63,59,56,9,9,11346
334,365,10,200,0,-4,47,2,2,12891
335,331,2,10,77,53,58,6,6,64909
336,369,2,10,83,79,74,4,4,11858
337,372,5,25,60,56,56,4,4,10454
338,349,1,5,89,75,70,7,7,38111
339,365,2,10,77,71,68,2,2,19493
340,347,3,16,75,59,66,2,2,44592
341,374,8,80,36,32,41,9,4,11299
342,362,1,5,93,83,76,9,9,28523
343,372,3,16,73,67,65,4,4,15963
344,360,1,5,100,90,75,2,0,25225
345,340,1,5,84,62,67,7,1,59126
346,362,4,20,73,61,59,9,9,34618
347,367,3,16,60,50,64,6,6,29593
348,377,6,40,61,57,56,7,7,11395
349,368,2,10,70,60,69,8,8,28846
350,381,9,100,13,11,41,2,2,9234
351,352,1,5,88,70,72,8,8,45021
352,388,7,50,70,68,56,6,6,6755
353,388,10,200,0,-2,41,6,9,6054
354,383,2,10,85,81,76,9,9,13357
355,379,3,16,76,68,68,4,4,22697
356,384,4,20,62,56,65,7,7,16739
357,389,3,16,69,67,69,9,3,7712
358,375,3,16,72,60,58,2,2,30704
359,381,4,20,62,54,66,2,4,23881
360,396,8,80,72,70,56,5,1,5990
361,387,5,25,71,65,59,7,7,16351
362,376,3,16,58,46,74,5,5,34461
363,398,3,16,80,76,76,1,1,11970
364,401,4,20,67,65,69,6,6,7368
365,386,2,10,79,71,67,8,8,23510
366,405,9,100,56,54,56,3,3,5191
367,399,4,20,76,72,68,0,0,12667
368,392,2,10,71,63,72,3,3,21900
369,391,1,5,92,82,80,2,3,25007
370,377,1,5,93,81,79,7,2,32517
371,399,5,25,48,42,65,0,0,15860
372,388,4,20,49,39,64,6,0,28841
373,403,5,25,54,50,66,5,6,13592
374,410,5,25,79,79,69,2,4,4275
375,405,6,40,70,66,59,3,3,12465
376,411,10,200,0,-2,56,7,4,5931
377,408,4,20,70,68,74,1,1,9290
378,408,4,20,68,66,76,1,1,9745
379,369,1,5,83,63,77,4,4,50902
380,414,5,25,77,75,68,4,4,9466
381,410,3,16,76,72,67,2,2,10859
382,396,1,5,86,78,83,5,1,23255
383,354,1,5,84,50,73,4,1,86054
384,418,6,40,59,57,69,8,8,5585
385,422,5,25,86,84,74,7,7,5479
386,379,2,10,60,40,70,4,4,54534
387,401,4,20,76,66,58,6,6,29479
388,418,6,40,32,28,66,8,8,12477
389,429,7,50,48,48,69,0,0,3645
390,422,7,50,75,71,59,7,7,11291
391,424,5,25,63,59,76,9,9,11225
392,425,6,40,67,63,68,3,3,11565
393,430,6,40,68,66,74,6,6,7262
394,426,2,10,80,76,83,7,7,10284
395,426,4,20,71,67,67,7,7,11022
396,418,5,25,63,57,64,8,8,18028
397,433,8,80,44,42,69,3,9,5606
398,410,1,5,94,86,86,2,4,20424
399,416,6,40,29,21,65,1,0,22872
400,434,7,50,31,29,66,9,9,8170
401,439,7,50,77,77,74,8,8,4135
402,404,1,5,89,75,84,8,8,35601
403,437,6,40,60,58,76,5,5,6408
404,418,2,10,92,84,79,8,7,19662
405,443,9,100,38,38,69,1,1,3725
406,415,3,16,42,32,72,8,8,26610
407,432,3,16,63,59,70,2,2,13099
408,439,7,50,64,60,68,8,8,10187
409,437,8,80,60,56,59,5,5,10694
410,442,5,25,77,75,67,4,4,7934
411,426,2,10,74,68,77,7,7,18558
412,447,8,80,28,26,66,1,7,6061
413,452,10,200,0,0,69,3,3,3224
414,449,7,50,67,65,76,6,1,6032
415,456,8,80,84,84,68,8,8,4658
416,442,6,40,70,66,64,4,1,12784
417,440,3,16,62,56,83,0,0,15015
418,446,7,50,28,24,65,7,9,11920
419,454,4,20,74,72,70,1,1,7611
420,448,8,80,36,32,74,2,2,11946
421,459,9,100,44,42,66,3,3,5248
422,461,8,80,52,50,76,4,4,4965
423,452,3,16,91,89,79,3,1,6999
424,457,9,100,56,54,59,2,3,7368
425,457,6,40,72,70,67,2,0,8488
426,394,1,5,76,50,81,1,1,68101
427,432,5,25,70,60,58,2,2,28635
428,462,9,100,56,54,68,0,0,7065
429,469,9,100,75,75,76,8,8,4175
430,430,2,10,74,62,73,6,6,33188
431,454,4,20,52,48,72,1,1,13998
432,463,8,80,32,30,65,5,5,7661
433,432,1,5,89,81,87,2,9,23053
434,407,1,5,88,72,85,5,5,41113
435,466,10,200,0,-2,66,1,7,8483
436,466,9,100,50,48,74,1,1,8240
437,463,4,20,79,75,83,5,5,10596
438,450,2,10,82,74,84,1,1,21655
439,416,2,10,65,47,80,1,1,48792
440,466,5,25,55,51,70,1,1,11346
441,476,10,200,0,0,76,2,2,3333
442,395,1,5,80,52,82,6,6,69901
443,470,7,50,72,70,67,1,1,6685
444,470,10,200,0,-2,59,1,1,7556
445,474,10,200,0,-2,68,5,5,6147
446,476,9,100,38,36,65,2,2,5657
447,470,4,20,75,71,79,1,0,9949
448,480,10,200,0,-2,74,5,5,7173
449,480,5,25,68,66,83,5,5,7479
450,484,8,80,72,70,67,1,1,5394
451,462,7,50,53,45,64,0,0,24295
452,476,5,25,53,49,72,2,2,10840
453,489,10,200,0,-2,65,0,0,5582
454,483,6,40,53,49,70,7,7,13096
455,460,3,16,46,34,77,9,4,29977
456,491,9,100,75,73,67,1,1,5577
457,480,2,10,76,70,85,5,6,18116
458,491,6,40,67,65,83,1,1,7353
459,483,3,16,86,80,84,7,1,17272
460,495,6,40,39,37,72,3,3,7119
461,473,6,40,63,53,58,0,0,29798
462,385,2,10,70,30,75,2,2,103884
463,495,8,80,56,52,64,3,3,11653
464,497,7,50,34,32,70,7,7,8910
465,483,3,16,60,52,80,7,1,23090
466,473,2,10,62,50,81,0,0,33492
467,498,10,200,25,23,67,6,6,6468
468,498,3,16,67,65,85,6,6,9313
469,491,5,25,66,60,79,1,1,18451
470,506,8,80,36,36,70,6,6,4773
471,476,3,16,60,48,73,2,2,33106
472,498,4,20,62,58,77,6,6,11186
473,505,9,100,56,54,64,7,7,8845
474,480,2,10,69,55,87,5,5,35497
475,509,4,20,65,63,85,3,3,6468
476,502,7,50,36,32,72,5,5,12242
477,510,9,100,13,11,70,1,1,6243
478,501,4,20,82,76,84,9,9,17827
479,489,1,5,95,83,89,0,6,33918
480,446,2,10,63,37,86,7,1,67738
481,515,5,25,59,57,85,2,2,5196
482,503,7,50,61,53,58,8,8,20940
483,513,10,200,25,23,64,5,6,7777
484,491,1,5,91,77,90,1,1,36015
485,515,8,80,16,14,72,2,5,6486
486,507,4,20,60,52,80,1,1,22464
487,513,5,25,51,47,77,5,5,11447
488,517,5,25,86,82,84,8,9,11556
489,488,2,10,56,36,82,6,6,51602
490,522,8,80,68,66,58,7,7,8487
491,520,2,10,98,94,89,9,7,13803
492,515,3,16,57,51,87,2,5,14627
493,525,9,100,6,6,72,9,9,4337
494,510,6,40,77,75,79,1,1,7620
495,512,4,20,56,46,73,5,5,28240
496,526,5,25,40,36,80,0,0,13422
497,530,10,200,0,0,72,2,2,4468
498,521,3,16,49,41,86,7,7,20566
499,527,6,40,68,64,84,0,0,13676
500,524,2,10,83,77,90,0,0,19251
501,535,7,50,67,65,79,1,1,4951
502,527,6,40,36,32,77,0,0,10462
503,529,3,16,91,85,89,9,4,15282
504,537,6,40,31,29,80,5,5,9594
505,522,6,40,0,-12,85,7,0,30857
506,530,1,5,100,94,91,2,2,18182
507,540,7,50,63,61,77,3,3,5268
508,546,7,50,70,70,85,3,3,4018
509,540,3,16,80,76,90,3,3,11059
510,542,4,20,92,88,89,0,0,11272
511,549,8,80,60,60,85,3,3,1678
512,545,7,50,34,32,80,8,8,7655
513,538,4,20,58,54,86,1,3,12285
514,552,9,100,69,69,85,1,2,1897
515,538,7,50,0,-6,84,1,0,19230
516,543,8,80,64,60,79,5,5,12962
517,529,3,16,50,38,82,9,0,33319
518,550,4,20,79,77,90,9,9,7479
519,552,8,80,48,46,80,1,1,5721
520,536,5,25,45,35,73,6,6,28218
521,555,10,200,0,-2,85,2,6,5009
522,547,2,10,96,92,91,6,6,14457
523,548,8,80,32,28,77,2,0,11286
524,559,9,100,50,50,80,8,8,4728
525,556,8,80,52,50,84,1,1,8668
526,503,3,16,55,33,75,8,8,56788
527,554,5,25,53,49,86,5,5,11654
528,529,9,100,0,-18,58,9,0,48354
529,565,10,200,0,0,80,6,6,4107
530,562,3,16,98,94,91,7,7,10190
531,530,4,20,47,29,87,2,0,48096
532,564,9,100,38,36,77,4,6,5332
533,566,9,100,56,54,84,9,9,6985
534,561,6,40,51,47,73,3,3,13010
535,559,5,25,57,51,90,8,0,17300
536,558,4,20,61,53,82,2,2,20444
537,568,6,40,45,43,86,2,2,9610
538,572,10,200,0,-2,84,1,1,5861
539,572,10,200,0,-2,77,1,3,3812
540,574,6,40,68,66,90,3,3,7177
541,573,7,50,56,54,73,1,3,9470
542,569,10,200,0,-6,58,4,4,18043
543,571,5,25,62,58,87,8,8,13710
544,570,4,20,88,82,91,2,2,15798
545,577,7,50,44,42,86,0,0,5779
546,576,5,25,44,40,82,4,4,14840
547,580,8,80,64,62,73,9,9,7624
548,579,7,50,69,65,90,5,5,12515
549,582,8,80,44,42,86,0,0,8666
550,581,5,25,86,82,91,3,3,12598
551,585,6,40,47,45,82,4,4,9884
552,587,9,100,25,23,73,1,1,7326
553,587,8,80,60,58,90,1,1,8917
554,589,9,100,19,17,86,9,9,6627
555,567,4,20,48,34,75,7,2,37740
556,592,7,50,50,48,82,6,6,8560
557,593,10,200,0,-2,73,1,1,5607
558,593,9,100,63,61,90,1,1,7124
559,595,10,200,0,-2,86,9,9,5012
560,585,1,5,94,86,96,4,4,22473
561,581,6,40,38,26,87,3,3,31518
562,597,8,80,32,30,82,6,6,6433
563,591,6,40,42,34,91,2,2,22496
564,600,7,50,52,50,87,9,9,6307
565,601,9,100,31,29,82,9,9,6866
566,598,10,200,0,-6,90,6,6,16173
567,602,7,50,95,93,91,8,8,6954
568,561,1,5,86,58,93,3,7,74236
569,599,2,10,84,78,96,7,7,15578
570,603,8,80,20,18,87,0,0,5662
571,604,10,200,0,-2,82,1,1,7033
572,584,1,5,86,66,95,2,2,51267
573,608,9,100,13,11,87,7,7,5926
574,608,3,16,80,76,96,7,7,11658
575,611,10,200,0,-2,87,7,7,5648
576,606,8,80,0,-6,91,4,4,18456
577,589,1,5,76,54,97,9,9,55364
578,610,2,10,76,70,95,5,5,17770
579,613,4,20,85,83,96,3,3,7708
580,607,2,10,81,71,93,6,6,26054
581,614,9,100,50,48,91,5,5,8816
582,557,9,100,0,-46,79,3,0,115621
583,616,5,25,65,61,96,4,4,10042
584,616,3,16,60,54,95,4,4,15528
585,619,10,200,0,-4,91,2,2,10727
586,620,10,200,25,23,79,5,5,5470
587,544,1,5,76,18,92,5,5,149007
588,621,6,40,65,61,96,9,9,11471
589,618,3,16,78,70,93,1,1,22099
590,622,4,20,56,52,95,5,5,10530
591,612,1,5,86,72,99,0,0,39107
592,624,7,50,56,54,96,7,7,7793
593,627,5,25,60,58,95,8,8,8147
594,623,1,5,100,94,100,6,2,15138
595,629,8,80,60,58,96,3,3,4849
596,615,2,10,50,32,97,8,8,48414
597,628,2,10,76,70,99,8,8,18273
598,626,4,20,68,60,93,9,9,20842
599,632,9,100,31,29,96,7,0,6353
600,630,6,40,56,54,95,6,6,6110
601,638,10,200,0,0,96,1,1,3805
602,634,3,16,69,65,97,7,7,14083
603,637,5,25,73,69,93,1,1,12233
604,639,7,50,53,49,95,0,0,10901
605,643,8,80,40,38,95,3,3,5287
606,641,4,20,71,69,97,9,9,9676
607,641,6,40,68,64,93,9,9,11939
608,644,9,100,56,54,95,7,7,4811
609,631,2,10,69,55,100,9,9,38250
610,644,5,25,75,73,97,7,7,6165
611,647,10,200,0,0,95,4,4,3973
612,635,3,16,43,29,99,5,4,38503
613,624,1,5,100,76,101,7,0,61701
614,649,6,40,63,61,97,6,6,5117
615,646,7,50,59,55,93,2,2,11124
616,651,7,50,63,63,97,7,7,3953
617,648,3,16,54,48,100,1,0,15607
618,655,8,80,68,68,97,4,4,4184
619,650,4,20,82,78,99,2,7,12723
620,654,8,80,60,58,93,7,7,8151
621,657,9,100,13,11,97,2,7,5678
622,659,9,100,63,61,93,3,3,6308
623,640,1,5,86,68,104,7,7,47453
624,651,2,10,100,92,101,7,0,23894
625,662,10,200,0,-2,97,0,0,6379
626,663,10,200,0,-2,93,4,4,6778
627,658,5,25,36,30,99,6,6,19272
628,658,4,20,32,24,100,6,3,21032
629,604,1,5,77,15,98,1,1,159323
630,664,2,10,89,85,104,2,2,12861
631,667,6,40,33,29,99,0,0,12576
632,668,5,25,40,36,100,0,0,12670
633,669,3,16,69,63,104,0,0,15628
634,675,6,40,29,27,100,3,3,6777
635,671,7,50,41,35,99,1,1,18160
636,656,1,5,79,59,106,0,2,50675
637,676,4,20,81,79,104,1,1,9031
638,677,7,50,28,26,100,4,4,6560
639,679,8,80,8,6,99,5,5,8835
640,680,5,25,79,77,104,4,4,8219
641,685,9,100,0,-2,99,8,8,6588
642,653,1,5,77,45,105,5,5,81439
643,684,8,80,4,2,100,2,2,7206
644,661,1,5,85,59,107,4,4,66115
645,686,6,40,69,67,104,7,7,7405
646,687,10,200,0,-2,99,9,9,5065
647,688,9,100,50,50,100,2,2,4024
648,633,1,5,72,22,102,0,0,126090
649,680,2,10,69,61,106,4,4,23792
650,691,7,50,72,70,104,1,1,7352
651,692,10,200,0,0,100,4,4,3643
652,688,2,10,81,75,105,2,2,16625
653,695,8,80,64,62,104,3,3,5688
654,682,1,5,86,74,112,4,4,32376
655,698,9,100,69,69,104,1,1,4713
656,700,10,200,0,0,104,4,4,3939
657,666,1,5,92,68,108,0,3,58306
658,674,1,5,97,75,111,2,0,59098
